,poi,address,street_number,street_name,suburb,postcode,latitude,longitude,public_school_percentile
0,Allawah Train Station,"Hurstville NSW 2220, Australia",,,Hurstville,2220,-33.9696853,151.1145196,
1,Arncliffe Train Station,"Arncliffe NSW 2205, Australia",,,Arncliffe,2205,-33.9362525,151.1472815,
2,Artarmon Train Station,"Artarmon NSW 2064, Australia",,,Artarmon,2064,-33.80883110000001,151.1851236,
3,Ashfield Train Station,"Ashfield NSW 2131, Australia",,,Ashfield,2131,-33.88763,151.1259,
4,Asquith Train Station,"Asquith NSW 2077, Australia",,,Asquith,2077,-33.6886887,151.1081727,
5,Auburn Train Station,"Auburn NSW 2144, Australia",,,Auburn,2144,-33.84918889999999,151.0328916,
6,Banksia Train Station,"Banksia NSW 2216, Australia",,,Banksia,2216,-33.9453067,151.1404131,
7,Bankstown Train Station,"Bankstown NSW 2200, Australia",,,Bankstown,2200,-33.91789199999999,151.034653,
8,Bardwell Park Train Station,"Bardwell Park NSW 2207, Australia",,,Bardwell Park,2207,-33.93157240000001,151.1248947,
9,Beecroft Train Station,"Beecroft NSW 2119, Australia",,,Beecroft,2119,-33.7496721,151.0664082,
10,Belmore Train Station,"Belmore NSW 2192, Australia",,,Belmore,2192,-33.9171947,151.0887354,
11,Berala Train Station,"Berala NSW 2141, Australia",,,Berala,2141,-33.871834,151.03244,
12,Berowra Train Station,"Berowra NSW 2081, Australia",,,Berowra,2081,-33.6235453,151.1531536,
13,Beverly Hills Train Station,"Beverly Hills NSW 2209, Australia",,,Beverly Hills,2209,-33.9490183,151.0812222,
14,Bexley North Train Station,"Bexley North NSW 2207, Australia",,,Bexley North,2207,-33.937538,151.1135235,
15,Birrong Train Station,"Birrong NSW 2143, Australia",,,Birrong,2143,-33.8932932,151.0240292,
16,Blacktown Train Station,"Blacktown NSW 2148, Australia",,,Blacktown,2148,-33.7685906,150.907424,
17,Bondi Junction Train Station,"95/97 Grafton St, Bondi Junction NSW 2022, Australia",97,Grafton Street,Bondi Junction,2022,-33.891293,151.2487102,
18,Burwood Train Station,"Burwood NSW 2134, Australia",,,Burwood,2134,-33.8772471,151.1043119,
19,Cabramatta Train Station,"Cabramatta NSW 2166, Australia",,,Cabramatta,2166,-33.894623,150.939056,
20,Campbelltown Train Station,"Campbelltown NSW 2560, Australia",,,Campbelltown,2560,-34.06402829999999,150.8141357,
21,Campsie Train Station,"Campsie NSW 2194, Australia",,,Campsie,2194,-33.9104,151.103546,
22,Canley Vale Train Station,"Canley Vale NSW 2166, Australia",,,Canley Vale,2166,-33.887131,150.943634,
23,Canterbury Train Station,"Canterbury NSW 2193, Australia",,,Canterbury,2193,-33.91189179999999,151.118573,
24,Caringbah Train Station,"Caringbah NSW 2229, Australia",,,Caringbah,2229,-34.04158879999999,151.1225683,
25,Carlton Train Station,"Carlton NSW 2218, Australia",,,Carlton,2218,-33.968266,151.124008,
26,Carramar Train Station,"Carramar NSW 2163, Australia",,,Carramar,2163,-33.8843143,150.9614886,
27,Casula Train Station,"Casula NSW 2170, Australia",,,Casula,2170,-33.949908,150.9120312,
28,Central Train Station,"Eddy Ave, Haymarket NSW 2000, Australia",,Eddy Avenue,Haymarket,2000,-33.8826375,151.2064722,
29,Chatswood Train Station,"Chatswood NSW 2067, Australia",,,Chatswood,2067,-33.7967905,151.1806876,
30,Cheltenham Train Station,"Cheltenham NSW 2119, Australia",,,Cheltenham,2119,-33.7557491,151.0785565,
31,Chester Hill Train Station,"Chester Hill Rd, Chester Hill NSW 2162, Australia",,Chester Hill Road,Chester Hill,2162,-33.8835918,150.9998601,
32,Circular Quay Train Station,"Circular Quay Railway Station, Alfred St, Sydney NSW 2000, Australia",,Alfred Street,Sydney,2000,-33.8611772,151.2106885,
33,Clarendon Train Station,"Clarendon NSW 2756, Australia",,,Clarendon,2756,-33.6085113,150.7879184,
34,Clyde Train Station,"Granville NSW 2142, Australia",,,Granville,2142,-33.8358494,151.0168574,
35,Como Train Station,"Como NSW 2226, Australia",,,Como,2226,-34.004265,151.067993,
36,Concord West Train Station,"Concord West NSW 2138, Australia",,,Concord West,2138,-33.8484989,151.085587,
37,Cronulla Train Station,"Cronulla NSW 2230, Australia",,,Cronulla,2230,-34.0557489,151.1515177,
38,Croydon Train Station,"Croydon NSW 2132, Australia",,,Croydon,2132,-33.8832473,151.1151841,
39,Denistone Train Station,"Denistone NSW 2114, Australia",,,Denistone,2114,-33.79955469999999,151.0867853,
40,Domestic Airport Train Station,"Mascot NSW 2020, Australia",,,Mascot,2020,-33.9336041,151.1811262,
41,Doonside Train Station,"Doonside NSW 2767, Australia",,,Doonside,2767,-33.763779,150.869003,
42,Dulwich Hill Train Station,"Dulwich Hill NSW 2203, Australia",,,Dulwich Hill,2203,-33.9111047,151.141175,
43,East Hills Train Station,"East Hills NSW 2213, Australia",,,East Hills,2213,-33.9617849,150.9846528,
44,East Richmond Train Station,"Richmond NSW 2753, Australia",,,Richmond,2753,-33.6017984,150.7591345,
45,Eastwood Train Station,"Eastwood NSW 2122, Australia",,,Eastwood,2122,-33.7901037,151.0819767,
46,Edgecliff Train Station,"Edgecliff NSW 2027, Australia",,,Edgecliff,2027,-33.879318,151.23642,
47,Edmondson Park Train Station,"Edmondson Train Station Rd, Edmondson Park NSW 2174, Australia",,,Edmondson Park,2174,-33.9692834,150.85866,
48,Emu Plains Train Station,"Emu Plains NSW 2750, Australia",,,Emu Plains,2750,-33.74573420000001,150.6718826,
49,Engadine Train Station,"Engadine NSW 2233, Australia",,,Engadine,2233,-34.0676142,151.0147694,
50,Epping Train Station,"Beecroft Rd, Epping NSW 2121, Australia",,Beecroft Road,Epping,2121,-33.77271959999999,151.0820495,
51,Erskineville Train Station,"Erskineville NSW 2043, Australia",,,Erskineville,2043,-33.9000757,151.1855598,
52,Fairfield Train Station,"Fairfield NSW 2165, Australia",,,Fairfield,2165,-33.8723854,150.9568218,
53,Flemington Train Station,"Homebush West NSW 2140, Australia",,,Homebush West,2140,-33.8649524,151.0701872,
54,Glenfield Train Station,"Railway Parade, Glenfield NSW 2167, Australia",,Railway Parade,Glenfield,2167,-33.9722348,150.8930947,
55,Gordon Train Station,"Gordon NSW 2072, Australia",,,Gordon,2072,-33.7557663,151.1543614,
56,Granville Train Station,"Granville NSW 2142, Australia",,,Granville,2142,-33.8327711,151.0119323,
57,Green Square Train Station,"Alexandria NSW 2015, Australia",,,Alexandria,2015,-33.9062418,151.2024545,
58,Guildford Train Station,"Guildford NSW 2161, Australia",,,Guildford,2161,-33.85422490000001,150.984419,
59,Gymea Train Station,"Gymea NSW 2227, Australia",,,Gymea,2227,-34.0348841,151.0854573,
60,Harris Park Train Station,"Station St W, Harris Park NSW 2150, Australia",,Station Street West,Harris Park,2150,-33.823315,151.007599,
61,Heathcote Train Station,"Heathcote NSW 2233, Australia",,,Heathcote,2233,-34.0879598,151.0080987,
62,Helensburgh Train Station,"Helensburgh NSW 2508, Australia",,,Helensburgh,2508,-34.1769231,150.9948512,
63,Holsworthy Train Station,"Holsworthy NSW 2173, Australia",,,Holsworthy,2173,-33.96316580000001,150.9566821,
64,Homebush Train Station,"Homebush NSW 2140, Australia",,,Homebush,2140,-33.8668843,151.0859661,
65,Hornsby Train Station,"Hornsby NSW 2077, Australia",,,Hornsby,2077,-33.703522,151.09848,
66,Hurlstone Park Train Station,"Hurlstone Park NSW 2193, Australia",,,Hurlstone Park,2193,-33.9101766,151.1324875,
67,Hurstville Train Station,"Ormonde Parade, Hurstville NSW 2220, Australia",,Ormonde Parade,Hurstville,2220,-33.9676514,151.1023441,
68,Ingleburn Train Station,"Ingleburn NSW 2565, Australia",,,Ingleburn,2565,-33.9975793,150.8640626,
69,International Airport Train Station,"Mascot NSW 2020, Australia",,,Mascot,2020,-33.9349888,151.1658066,
70,Jannali Train Station,"Jannali NSW 2226, Australia",,,Jannali,2226,-34.01589740000001,151.0645506,
71,Killara Train Station,"Killara NSW 2071, Australia",,,Killara,2071,-33.76547599999999,151.161697,
72,Kings Cross Train Station,"Darlinghurst Rd, Potts Point NSW 2011, Australia",,Darlinghurst Road,Potts Point,2011,-33.874268,151.222611,
73,Kingsgrove Train Station,"Kingsgrove NSW 2208, Australia",,,Kingsgrove,2208,-33.9406036,151.1005328,
74,Kingswood Train Station,"Kingswood NSW 2747, Australia",,,Kingswood,2747,-33.75838349999999,150.7204858,
75,Kirrawee Train Station,"Kirrawee NSW 2232, Australia",,,Kirrawee,2232,-34.0349682,151.0715823,
76,Kogarah Train Station,"1 Railway Parade, Kogarah NSW 2217, Australia",1,Railway Parade,Kogarah,2217,-33.962728,151.1324438,
77,Lakemba Train Station,"Lakemba NSW 2195, Australia",,,Lakemba,2195,-33.9201175,151.0758525,
78,Leightonfield Train Station,"Villawood NSW 2163, Australia",,,Villawood,2163,-33.8814266,150.985237,
79,Leppington Train Station,"2179, 187 Rickard Rd, Leppington NSW 2179, Australia",187,Rickard Rd,Leppington,2179,-33.9543966,150.8080174,
80,Leumeah Train Station,"Leumeah NSW 2560, Australia",,,Leumeah,2560,-34.0507788,150.8306041,
81,Lewisham Train Station,"4 Victoria St, Lewisham NSW 2049, Australia",4,Victoria Street,Lewisham,2049,-33.8932518,151.147421,
82,Lidcombe Train Station,"Railway Parade, Lidcombe NSW 2141, Australia",,Railway Parade,Lidcombe,2141,-33.8636195,151.0447322,
83,Lindfield Train Station,"Lindfield NSW 2070, Australia",,,Lindfield,2070,-33.7756649,151.1691041,
84,Liverpool Train Station,"Liverpool NSW 2170, Australia",,,Liverpool,2170,-33.9243088,150.9272096,
85,Loftus Train Station,"Loftus NSW 2232, Australia",,,Loftus,2232,-34.04510459999999,151.0511986,
86,Macarthur Train Station,"Menangle Rd, Campbelltown NSW 2560, Australia",,Menangle Road,Campbelltown,2560,-34.07195,150.7972521,
87,Macdonaldtown Train Station,"Eveleigh NSW 2015, Australia",,,Eveleigh,2015,-33.896767,151.18634,
88,Macquarie Fields Train Station,"Macquarie Fields NSW 2564, Australia",,,Macquarie Fields,2564,-33.9847434,150.8790718,
89,Marayong Train Station,"Marayong NSW 2148, Australia",,,Marayong,2148,-33.746309,150.9001946,
90,Marrickville Train Station,"Marrickville NSW 2204, Australia",,,Marrickville,2204,-33.9138005,151.1531604,
91,Martin Place Train Station,"Sydney NSW 2000, Australia",,,Sydney,2000,-33.867964,151.2117024,
92,Mascot Train Station,"Mascot NSW 2020, Australia",,,Mascot,2020,-33.9233037,151.1874205,
93,Meadowbank Train Station,"Meadowbank NSW 2114, Australia",,,Meadowbank,2114,-33.8159902,151.0901473,
94,Merrylands Train Station,"Merrylands NSW 2160, Australia",,,Merrylands,2160,-33.8365039,150.9925513,
95,Milsons Point Train Station,"Milsons Point NSW 2061, Australia",,,Milsons Point,2061,-33.8458583,151.2118248,
