suburb,state,postcode
Acton,ACT,2601
Ainslie,ACT,2602
Amaroo,ACT,2914
Aranda,ACT,2614
Banks,ACT,2906
Barton,ACT,2600
Beard,ACT,2620
Belconnen,ACT,2617
Bonner,ACT,2914
Bonython,ACT,2905
Braddon,ACT,2612
Bruce,ACT,2617
Calwell,ACT,2905
Campbell,ACT,2612
Canberra Airport,ACT,2609
Capital Hill,ACT,2600
Casey,ACT,2913
Chapman,ACT,2611
Charnwood,ACT,2615
Chifley,ACT,2606
Chisholm,ACT,2905
City,ACT,2601
Conder,ACT,2906
Cook,ACT,2614
Coombs,ACT,2611
Crace,ACT,2911
Curtin,ACT,2605
Deakin,ACT,2600
Denman Prospect,ACT,2611
Dickson,ACT,2602
Downer,ACT,2602
Duffy,ACT,2611
Dunlop,ACT,2615
Evatt,ACT,2617
Fadden,ACT,2904
Farrer,ACT,2607
Fisher,ACT,2611
Florey,ACT,2615
Flynn,ACT,2615
Forde,ACT,2914
Forrest,ACT,2603
Franklin,ACT,2913
Fraser,ACT,2615
Fyshwick,ACT,2609
Garran,ACT,2605
Gilmore,ACT,2905
Giralang,ACT,2617
Gordon,ACT,2906
Gowrie,ACT,2904
Greenway,ACT,2900
Griffith,ACT,2603
Gungahlin,ACT,2912
Hackett,ACT,2602
Hall,ACT,2618
Harrison,ACT,2914
Hawker,ACT,2614
Higgins,ACT,2615
Holder,ACT,2611
Holt,ACT,2615
Hughes,ACT,2605
Hume,ACT,2620
Isaacs,ACT,2607
Isabella Plains,ACT,2905
Jacka,ACT,2914
Kaleen,ACT,2617
Kambah,ACT,2902
Kenny,ACT,2912
Kingston,ACT,2604
Latham,ACT,2615
Lawson,ACT,2617
Lyneham,ACT,2602
Lyons,ACT,2606
Macarthur,ACT,2904
Macgregor,ACT,2615
Macnamara,ACT,2615
Macquarie,ACT,2614
Mawson,ACT,2607
Mckellar,ACT,2617
Melba,ACT,2615
Mitchell,ACT,2911
Molonglo,ACT,2611
Monash,ACT,2904
Moncrieff,ACT,2914
Narrabundah,ACT,2604
Ngunnawal,ACT,2913
Nicholls,ACT,2913
O'connor,ACT,2602
O'malley,ACT,2606
Oaks Estate,ACT,2620
Oxley,ACT,2903
Page,ACT,2614
Palmerston,ACT,2913
Parkes,ACT,2600
Pearce,ACT,2607
Phillip,ACT,2606
Pialligo,ACT,2609
Red Hill,ACT,2603
Reid,ACT,2612
Richardson,ACT,2905
Rivett,ACT,2611
Russell,ACT,2600
Scullin,ACT,2614
Spence,ACT,2615
Stirling,ACT,2611
Strathnairn,ACT,2615
Symonston,ACT,2609
Taylor,ACT,2913
Tharwa,ACT,2620
Theodore,ACT,2905
Throsby,ACT,2914
Torrens,ACT,2607
Turner,ACT,2612
